iter	Passed	Remaining
431	1336	1757
432	1338	1752
433	1339	1746
434	1340	1741
435	1342	1736
436	1343	1731
437	1345	1726
438	1346	1721
439	1348	1716
440	1349	1710
441	1351	1705
442	1352	1700
443	1354	1695
444	1355	1690
445	1357	1685
446	1358	1680
447	1359	1675
448	1361	1670
449	1363	1666
450	1364	1661
451	1365	1656
452	1367	1651
453	1369	1646
454	1370	1641
455	1372	1636
456	1373	1631
457	1374	1626
458	1376	1622
459	1377	1617
460	1379	1612
461	1380	1607
462	1382	1603
463	1383	1598
464	1385	1593
465	1386	1588
466	1387	1583
467	1389	1579
468	1390	1574
469	1392	1570
470	1394	1565
471	1395	1561
472	1397	1556
473	1398	1552
474	1400	1547
475	1401	1542
476	1402	1538
477	1404	1533
478	1405	1529
479	1407	1524
480	1408	1520
481	1410	1515
482	1411	1511
483	1413	1506
484	1414	1502
485	1416	1497
486	1417	1493
487	1419	1488
488	1420	1484
489	1422	1480
490	1423	1476
491	1425	1471
492	1427	1467
493	1428	1463
494	1430	1459
495	1431	1454
496	1433	1450
497	1435	1446
498	1436	1442
499	1437	1437
500	1439	1433
501	1441	1429
502	1442	1425
503	1444	1421
504	1445	1416
505	1447	1412
506	1448	1408
507	1449	1403
508	1450	1399
509	1454	1397
510	1455	1393
511	1457	1389
512	1458	1385
513	1460	1380
514	1462	1376
515	1463	1372
516	1465	1368
517	1466	1364
518	1468	1360
519	1469	1356
520	1471	1352
521	1472	1348
522	1474	1344
523	1475	1340
524	1477	1336
525	1478	1332
526	1480	1328
527	1482	1325
528	1484	1321
529	1486	1318
530	1488	1314
531	1490	1310
532	1491	1307
533	1494	1303
534	1495	1299
535	1496	1295
536	1498	1292
537	1500	1288
538	1502	1284
539	1503	1280
540	1505	1276
541	1506	1273
542	1508	1269
543	1510	1266
544	1512	1262
545	1514	1258
546	1515	1255
547	1516	1251
548	1518	1247
549	1519	1243
550	1521	1239
551	1522	1235
552	1523	1231
553	1525	1227
554	1526	1223
555	1527	1220
556	1529	1216
557	1530	1212
558	1531	1208
559	1533	1204
560	1534	1200
561	1535	1197
562	1537	1193
563	1538	1189
564	1540	1185
565	1541	1182
566	1543	1178
567	1544	1174
568	1545	1170
569	1547	1167
570	1548	1163
571	1549	1159
572	1551	1156
573	1552	1152
574	1554	1148
575	1555	1145
576	1557	1141
577	1558	1137
578	1559	1134
579	1561	1130
580	1562	1127
581	1564	1123
582	1565	1119
583	1567	1116
584	1568	1112
585	1569	1109
586	1571	1105
587	1572	1102
588	1574	1098
589	1575	1094
590	1576	1091
591	1578	1087
592	1579	1084
593	1580	1080
594	1582	1076
595	1583	1073
596	1584	1069
597	1585	1066
598	1587	1062
599	1588	1059
600	1590	1055
601	1591	1052
602	1592	1048
603	1594	1045
604	1595	1041
605	1596	1038
606	1598	1034
607	1599	1031
608	1600	1027
609	1602	1024
610	1603	1020
611	1605	1017
612	1606	1014
613	1607	1010
614	1609	1007
615	1610	1003
616	1611	1000
617	1613	997
618	1614	993
619	1615	990
620	1617	986
621	1618	983
622	1619	980
623	1621	976
624	1622	973
625	1623	970
626	1625	966
627	1626	963
628	1628	960
629	1629	956
630	1630	953
631	1632	950
632	1633	947
633	1634	943
634	1636	940
635	1637	937
636	1638	933
637	1640	930
638	1641	927
639	1642	924
640	1644	920
641	1645	917
642	1646	914
643	1648	911
644	1649	907
645	1651	904
646	1652	901
647	1653	898
648	1655	895
649	1656	892
650	1658	888
651	1659	885
652	1660	882
653	1662	879
654	1663	876
655	1664	873
656	1666	869
657	1667	866
658	1668	863
659	1670	860
660	1671	857
661	1673	854
662	1674	851
663	1676	848
664	1677	845
665	1678	841
666	1680	838
667	1681	835
668	1683	832
669	1684	829
670	1685	826
671	1687	823
672	1688	820
673	1690	817
674	1692	814
675	1693	811
676	1695	808
677	1696	805
678	1698	802
679	1700	800
680	1701	797
681	1703	794
682	1704	791
683	1706	788
684	1707	785
685	1709	782
686	1710	779
687	1712	776
688	1713	773
689	1715	770
690	1716	767
691	1718	764
692	1719	761
693	1721	758
694	1722	755
695	1724	753
696	1725	750
697	1727	747
698	1728	744
699	1730	741
700	1731	738
701	1732	735
702	1734	732
703	1735	729
704	1737	726
705	1738	723
706	1739	721
707	1741	718
708	1742	715
709	1744	712
710	1745	709
711	1747	706
712	1748	703
713	1750	701
714	1751	698
715	1752	695
716	1754	692
717	1755	689
718	1757	686
719	1758	683
720	1759	680
721	1760	678
722	1762	675
723	1763	672
724	1765	669
725	1766	666
726	1767	663
727	1769	661
728	1770	658
729	1772	655
730	1773	652
731	1774	649
732	1775	646
733	1777	644
734	1778	641
735	1779	638
736	1781	635
737	1782	632
738	1783	630
739	1785	627
740	1786	624
741	1787	621
742	1789	618
743	1790	616
744	1791	613
745	1793	610
746	1794	607
747	1795	605
748	1797	602
749	1798	599
750	1799	596
751	1801	594
752	1802	591
753	1803	588
754	1805	585
755	1806	583
756	1807	580
757	1809	577
758	1810	574
759	1811	572
760	1813	569
761	1814	566
762	1816	564
763	1817	561
764	1818	558
765	1820	556
766	1821	553
767	1822	550
768	1824	547
769	1825	545
770	1826	542
771	1828	539
772	1829	537
773	1830	534
774	1832	531
775	1833	529
776	1834	526
777	1836	524
778	1837	521
779	1839	518
780	1840	516
781	1842	513
782	1843	510
783	1844	508
784	1846	505
785	1847	503
786	1849	500
787	1850	497
788	1851	495
789	1853	492
790	1854	490
791	1855	487
792	1857	484
793	1859	482
794	1860	479
795	1861	477
796	1863	474
797	1864	471
798	1866	469
799	1867	466
800	1869	464
801	1871	462
802	1873	459
803	1874	457
804	1876	454
805	1878	452
806	1879	449
807	1881	447
808	1883	444
809	1884	442
810	1886	439
811	1887	437
812	1889	434
813	1891	432
814	1893	429
815	1894	427
816	1896	424
817	1898	422
818	1900	420
819	1902	417
820	1903	415
821	1905	412
822	1906	410
823	1908	407
824	1909	405
825	1911	402
826	1913	400
827	1914	397
828	1916	395
829	1917	392
830	1919	390
831	1921	387
832	1922	385
833	1924	383
834	1925	380
835	1928	378
836	1929	375
837	1931	373
838	1932	370
839	1934	368
840	1936	366
841	1937	363
842	1939	361
843	1941	358
844	1942	356
845	1944	353
846	1946	351
847	1948	349
848	1949	346
849	1951	344
850	1952	341
851	1954	339
852	1956	337
853	1958	334
854	1961	332
855	1964	330
856	1966	328
857	1967	325
858	1969	323
859	1971	320
860	1972	318
861	1974	316
862	1975	313
863	1977	311
864	1978	308
865	1980	306
866	1981	304
867	1983	301
868	1984	299
869	1986	296
870	1987	294
871	1989	291
872	1990	289
873	1991	287
874	1992	284
875	1993	282
876	1995	279
877	1996	277
878	1997	275
879	1999	272
880	2000	270
881	2001	267
882	2002	265
883	2004	262
884	2005	260
885	2006	258
886	2007	255
887	2009	253
888	2010	251
889	2011	248
890	2012	246
891	2013	243
892	2015	241
893	2016	239
894	2018	236
895	2019	234
896	2020	232
897	2022	229
898	2023	227
899	2024	224
900	2025	222
901	2027	220
902	2028	217
903	2029	215
904	2030	213
905	2032	210
906	2033	208
907	2034	206
908	2035	203
909	2037	201
910	2038	199
911	2039	196
912	2040	194
913	2041	192
914	2043	189
915	2044	187
916	2045	185
917	2046	182
918	2048	180
919	2049	178
920	2050	175
921	2051	173
922	2053	171
923	2054	168
924	2055	166
925	2056	164
926	2058	162
927	2059	159
928	2060	157
929	2061	155
930	2063	152
931	2064	150
932	2065	148
933	2066	146
934	2067	143
935	2068	141
936	2070	139
937	2071	136
938	2072	134
939	2073	132
940	2075	130
941	2076	127
942	2077	125
943	2078	123
944	2080	121
945	2081	118
946	2082	116
947	2083	114
948	2085	112
949	2086	109
950	2087	107
951	2088	105
952	2090	103
953	2091	100
954	2092	98
955	2093	96
956	2095	94
957	2096	91
958	2097	89
959	2098	87
960	2099	85
961	2101	82
962	2102	80
963	2103	78
964	2104	76
965	2106	74
966	2107	71
967	2108	69
968	2109	67
969	2111	65
970	2112	63
971	2113	60
972	2114	58
973	2115	56
974	2116	54
975	2118	52
976	2119	49
977	2120	47
978	2121	45
979	2122	43
980	2123	41
981	2125	38
982	2126	36
983	2127	34
984	2128	32
985	2129	30
986	2131	28
987	2132	25
988	2133	23
989	2134	21
990	2136	19
991	2137	17
992	2138	15
993	2139	12
994	2140	10
995	2142	8
996	2143	6
997	2144	4
998	2145	2
999	2146	0
95	2259	9
996	2260	6
997	2262	4
998	2263	2
999	2264	0
8	4156	46
989	4158	42
990	4160	37
991	4162	33
992	4163	29
993	4165	25
994	4167	20
995	4169	16
996	4170	12
997	4172	8
998	4174	4
999	4175	0
