iter	RMSE
783	214502125.9
784	214217809.6
785	214215508.3
786	214152455.3
787	214100680.3
788	214100209.8
789	214070348.9
790	214033397.2
791	214032954.5
792	214032402.8
793	214023691.1
794	214001284.1
795	214000757
796	213993447.8
797	213992402.9
798	213971586.3
799	213950566
800	213812420.8
801	213727387.3
802	213708008.6
803	213646869.4
804	213609307.1
805	213587656.2
806	213585679.6
807	213540083.6
808	213485962.8
809	213428576.7
810	213401799.5
811	213393195.6
812	213301585
813	213292883.2
814	213218241.5
815	213177997.8
816	213134801.8
817	213104218.3
818	213103836.9
819	213065900.9
820	212986345.6
821	212966510.4
822	212914749.6
823	212894332.8
824	212890703.6
825	212828759.9
826	212763310.3
827	212756497.4
828	212656440.4
829	212571758
830	212480175.5
831	212411038.2
832	212381108.3
833	212350537.7
834	212234071
835	212161830.8
836	212115580.8
837	212085131.2
838	212067855.9
839	212048660.9
840	212012592
841	211957481.2
842	211949300.4
843	211924442.6
844	211905832.7
845	211777100.8
846	211760629.9
847	211742702.6
848	211739498.7
849	211714007.5
850	211697434.2
851	211674070.7
852	211666030.8
853	211657931.8
854	211649327.8
855	211586057.4
856	211526316.7
857	211510909.2
858	211507296.6
859	211429932.7
860	211388381.4
861	211375129.1
862	211248046.9
863	211236331.1
864	211220094.9
865	211187648.5
866	211168609.7
867	211113996.2
868	211054296.5
869	211046055.8
870	211038731.2
871	211010861.1
872	210925322.4
873	210920956.7
874	210920408.4
875	210907077.5
876	210871472.9
877	210835992.5
878	210770600.2
879	210735650.6
880	210735223.2
881	210728116.3
882	210717360.1
883	210683834.3
884	210655172
885	210637634.5
886	210621894.6
887	210620879.3
888	210610256.9
889	210593284.5
890	210553664.2
891	210470505.5
892	210413965.4
893	210277182.6
894	210259693.9
895	210203667.7
896	210174790.3
897	210158741.1
898	210117758.8
899	210116872.1
900	210056867.5
901	210048245.4
902	210017196.7
903	210001386.1
904	209971277.9
905	209927007.3
906	209910867.6
907	209851301.5
908	209847508.3
909	209805598.6
910	209801461.4
911	209769500.5
912	209768980.8
913	209747648.9
914	209698851.1
915	209666334.9
916	209660294.2
917	209535656.4
918	209413396.7
919	209410985.8
920	209410491.9
921	209355988.9
922	209349325.3
923	209313829.1
924	209250669.4
925	209112521.9
926	209109118.5
927	208990235.5
928	208932670.4
929	208931865.3
930	208902943.8
931	208872220.5
932	208860510
933	208851414
934	208733729.5
935	208707867.9
936	208660479.3
937	208541253.9
938	208506889.7
939	208477378.6
940	208444614.9
941	208441806.9
942	208310795.2
943	208264305.8
944	208235238.2
945	208198321.2
946	208067152.6
947	208039072.6
948	208038229.8
949	207995456.8
950	207977826
951	207972099.5
952	207944561.3
953	207901443.5
954	207861649.1
955	207763769.4
956	207752774
957	207713321.8
958	207669631.8
959	207557807
960	207554657
961	207490566.1
962	207477384.6
963	207431308.6
964	207405221.7
965	207296855.9
966	207282253.5
967	207279273.9
968	207267131.5
969	207252675.9
970	207147749.8
971	207135986.8
972	207034407.1
973	207031697.2
974	206987055.5
975	206957571
976	206933501.4
977	206870112.6
978	206862569.9
979	206832152.8
980	206787986
981	206762562.2
982	206762351.4
983	206705884
984	206700388.1
985	206698939
986	206653398.8
987	206640194.2
988	206541590.2
989	206461357.1
990	206329008.7
991	206312563.3
992	206278045.2
993	206249005.8
994	206207070.8
995	206157630
996	206151849.3
997	206151656.1
998	206124096.3
999	206099570.6
